,L1,YEAR,PR,D,F,DOLLARS,L2,OUTLET,UNITS
6310,1,2007,8,3,35,212.25,10,0,151
6311,2,2007,0,0,2,34.56,14,0,4
6312,0,2008,127,5,808,7645.46,4,0,1314
6313,1,2008,235,371,1861,13165.71,10,0,8525
6314,2,2008,10,0,118,1240.77,14,0,278
6315,0,2009,187,13,925,8147.32,4,0,1494
6316,1,2009,374,535,2005,12144.46,10,0,7315
6317,2,2009,16,0,119,1320.9,14,0,261
6318,0,2010,303,26,1254,9455.32,4,0,1856
6319,1,2010,495,613,2445,13343.45,10,0,8154
6320,2,2010,27,0,172,1553.09,14,0,312
6321,0,2011,349,53,1339,11229.24,4,0,1937
6322,1,2011,442,560,2238,12090.83,10,0,7434
6323,2,2011,28,0,159,1262.43,14,0,236
6324,0,2007,4,1,23,322.94,4,0,76
6325,1,2007,12,13,45,709.24,10,0,589
6326,2,2007,0,0,3,39.5,14,0,10
6327,0,2008,123,7,813,9898.57,4,0,1849
6328,1,2008,284,577,1714,22517.82,10,0,16674
6329,2,2008,10,2,140,2322.78,14,0,447
6330,0,2009,169,85,1054,12780.58,4,0,2476
6331,1,2009,364,800,2200,24395.17,10,0,16745
6332,2,2009,22,3,154,2032.35,14,0,382
6333,0,2010,325,57,1438,15369.18,4,0,3468
6334,1,2010,485,959,2823,25512.94,10,0,19224
6335,2,2010,30,0,205,2251.82,14,0,460
6336,0,2011,359,33,1432,15817.17,4,0,3272
6337,1,2011,525,1170,2933,26306.43,10,0,19744
6338,2,2011,42,0,195,2166.59,14,0,406
6339,0,2007,3,0,21,425.38,4,0,105
6340,1,2007,16,5,56,493.5,10,0,365
6341,2,2007,0,0,1,9.89,14,0,1
